run_id,implementation,storage_format,portfolio_scale,phase,rep,elapsed_sec,load_prices_sec,align_weights_sec,compute_metrics_sec,total_sec,io_read_mb,io_read_syscalls,cpu_mean_pct,cpu_peak_pct,cpu_p90_pct,rss_peak_mb,rss_mean_mb,cache_dropped
c72aaf12-49c7-4c9c-89dd-c7a10310d362,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,2,0.019517,0.016334,0.001175,0.001697,0.019206,0.0,9,17.0,17.0,17.0,1063.3,1063.3,False
c72aaf12-49c7-4c9c-89dd-c7a10310d362,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,3,0.018406,0.015221,0.001221,0.001744,0.018186,0.0,9,13.5,13.5,13.5,1063.3,1063.3,False
c72aaf12-49c7-4c9c-89dd-c7a10310d362,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,4,0.011969,0.010106,0.000705,0.00091,0.011721,0.0,9,11.8,11.8,11.8,1063.3,1063.3,False
c84860c7-29c0-4b8d-819c-719152ae8693,numpy_vectorised,parquet_per_stock,1000,2_storage_opt,0,0.07612,0.071292,0.000786,0.002956,0.07503399999999999,0.0,310,100.0,100.0,100.0,1167.1,1167.1,False
c84860c7-29c0-4b8d-819c-719152ae8693,numpy_vectorised,parquet_per_stock,1000,2_storage_opt,1,0.077776,0.069031,0.000769,0.006,0.0758,0.0,312,100.0,100.0,100.0,1167.1,1167.1,False
c84860c7-29c0-4b8d-819c-719152ae8693,numpy_vectorised,parquet_per_stock,1000,2_storage_opt,2,0.074518,0.070059,0.000932,0.002907,0.07389799999999999,0.0,310,100.0,100.0,100.0,1167.1,1167.1,False
c84860c7-29c0-4b8d-819c-719152ae8693,numpy_vectorised,parquet_per_stock,1000,2_storage_opt,3,0.071445,0.067702,0.000768,0.002866,0.071336,0.0,310,100.0,100.0,100.0,1167.1,1167.1,False
c84860c7-29c0-4b8d-819c-719152ae8693,numpy_vectorised,parquet_per_stock,1000,2_storage_opt,4,0.071127,0.067519,0.000752,0.002775,0.071046,0.0,310,100.0,100.0,100.0,1167.1,1167.1,False
c9f54f0a-9fc3-4293-8513-20a13fef0294,polars_engine,parquet_wide_uncompressed,1000,3_compute_opt,0,0.051823,0.0123,0.000429,0.038233,0.05096200000000001,0.0,11,98.7,98.7,98.7,293.8,290.1,False
c9f54f0a-9fc3-4293-8513-20a13fef0294,polars_engine,parquet_wide_uncompressed,1000,3_compute_opt,1,0.057471,0.010783,0.000647,0.045939,0.057369,0.0,13,99.1,100.0,99.8,300.3,298.2,False
c9f54f0a-9fc3-4293-8513-20a13fef0294,polars_engine,parquet_wide_uncompressed,1000,3_compute_opt,2,0.057087,0.010704,0.000634,0.045637,0.056975,0.0,13,100.0,100.0,100.0,304.6,303.7,False
c9f54f0a-9fc3-4293-8513-20a13fef0294,polars_engine,parquet_wide_uncompressed,1000,3_compute_opt,3,0.038843,0.007751,0.000419,0.029971,0.038141,0.0,11,100.0,100.0,100.0,311.3,308.3,False
c9f54f0a-9fc3-4293-8513-20a13fef0294,polars_engine,parquet_wide_uncompressed,1000,3_compute_opt,4,0.039635,0.005892,0.000402,0.033044,0.039338,0.0,11,99.5,100.0,99.9,313.4,313.3,False
